time,spot_price,currency_unit
2024-01-15 23:00:00+00:00,86.59,EUR
2024-01-16 00:00:00+00:00,83.33,EUR
2024-01-16 01:00:00+00:00,80.94,EUR
2024-01-16 02:00:00+00:00,78.65,EUR
2024-01-16 03:00:00+00:00,78.35,EUR
2024-01-16 04:00:00+00:00,84.96,EUR
2024-01-16 05:00:00+00:00,96.1,EUR
2024-01-16 06:00:00+00:00,117.0,EUR
2024-01-16 07:00:00+00:00,144.11,EUR
2024-01-16 08:00:00+00:00,138.6,EUR
2024-01-16 09:00:00+00:00,122.0,EUR
2024-01-16 10:00:00+00:00,110.0,EUR
2024-01-16 11:00:00+00:00,102.62,EUR
2024-01-16 12:00:00+00:00,95.47,EUR
2024-01-16 13:00:00+00:00,100.95,EUR
2024-01-16 14:00:00+00:00,111.85,EUR
2024-01-16 15:00:00+00:00,113.56,EUR
2024-01-16 16:00:00+00:00,129.34,EUR
2024-01-16 17:00:00+00:00,129.98,EUR
2024-01-16 18:00:00+00:00,116.92,EUR
2024-01-16 19:00:00+00:00,99.78,EUR
2024-01-16 20:00:00+00:00,88.75,EUR
2024-01-16 21:00:00+00:00,83.49,EUR
2024-01-16 22:00:00+00:00,79.87,EUR
