time,spot_price,currency_unit
2025-01-16 23:00:00+00:00,124.83,EUR
2025-01-17 00:00:00+00:00,121.32,EUR
2025-01-17 01:00:00+00:00,118.2,EUR
2025-01-17 02:00:00+00:00,117.49,EUR
2025-01-17 03:00:00+00:00,117.26,EUR
2025-01-17 04:00:00+00:00,119.99,EUR
2025-01-17 05:00:00+00:00,140.8,EUR
2025-01-17 06:00:00+00:00,175.01,EUR
2025-01-17 07:00:00+00:00,208.13,EUR
2025-01-17 08:00:00+00:00,175.34,EUR
2025-01-17 09:00:00+00:00,149.39,EUR
2025-01-17 10:00:00+00:00,136.0,EUR
2025-01-17 11:00:00+00:00,126.44,EUR
2025-01-17 12:00:00+00:00,124.03,EUR
2025-01-17 13:00:00+00:00,119.51,EUR
2025-01-17 14:00:00+00:00,120.02,EUR
2025-01-17 15:00:00+00:00,138.02,EUR
2025-01-17 16:00:00+00:00,172.31,EUR
2025-01-17 17:00:00+00:00,179.92,EUR
2025-01-17 18:00:00+00:00,174.22,EUR
2025-01-17 19:00:00+00:00,157.91,EUR
2025-01-17 20:00:00+00:00,145.0,EUR
2025-01-17 21:00:00+00:00,139.97,EUR
2025-01-17 22:00:00+00:00,127.05,EUR
