time,spot_price,currency_unit
2025-01-14 23:00:00+00:00,119.33,EUR
2025-01-15 00:00:00+00:00,122.4,EUR
2025-01-15 01:00:00+00:00,118.6,EUR
2025-01-15 02:00:00+00:00,109.76,EUR
2025-01-15 03:00:00+00:00,111.77,EUR
2025-01-15 04:00:00+00:00,118.13,EUR
2025-01-15 05:00:00+00:00,135.56,EUR
2025-01-15 06:00:00+00:00,192.04,EUR
2025-01-15 07:00:00+00:00,275.0,EUR
2025-01-15 08:00:00+00:00,250.0,EUR
2025-01-15 09:00:00+00:00,179.56,EUR
2025-01-15 10:00:00+00:00,169.1,EUR
2025-01-15 11:00:00+00:00,166.26,EUR
2025-01-15 12:00:00+00:00,156.64,EUR
2025-01-15 13:00:00+00:00,143.49,EUR
2025-01-15 14:00:00+00:00,140.65,EUR
2025-01-15 15:00:00+00:00,135.0,EUR
2025-01-15 16:00:00+00:00,191.02,EUR
2025-01-15 17:00:00+00:00,221.91,EUR
2025-01-15 18:00:00+00:00,215.0,EUR
2025-01-15 19:00:00+00:00,168.78,EUR
2025-01-15 20:00:00+00:00,150.97,EUR
2025-01-15 21:00:00+00:00,138.77,EUR
2025-01-15 22:00:00+00:00,123.9,EUR
2025-01-15 23:00:00+00:00,124.33,EUR
2025-01-16 00:00:00+00:00,118.41,EUR
2025-01-16 01:00:00+00:00,114.0,EUR
2025-01-16 02:00:00+00:00,108.58,EUR
2025-01-16 03:00:00+00:00,108.59,EUR
2025-01-16 04:00:00+00:00,118.1,EUR
2025-01-16 05:00:00+00:00,130.8,EUR
2025-01-16 06:00:00+00:00,148.04,EUR
2025-01-16 07:00:00+00:00,199.94,EUR
2025-01-16 08:00:00+00:00,175.0,EUR
2025-01-16 09:00:00+00:00,151.9,EUR
2025-01-16 10:00:00+00:00,140.64,EUR
2025-01-16 11:00:00+00:00,131.13,EUR
2025-01-16 12:00:00+00:00,123.84,EUR
2025-01-16 13:00:00+00:00,115.14,EUR
2025-01-16 14:00:00+00:00,119.64,EUR
2025-01-16 15:00:00+00:00,137.69,EUR
2025-01-16 16:00:00+00:00,164.77,EUR
2025-01-16 17:00:00+00:00,184.32,EUR
2025-01-16 18:00:00+00:00,179.97,EUR
2025-01-16 19:00:00+00:00,159.6,EUR
2025-01-16 20:00:00+00:00,142.32,EUR
2025-01-16 21:00:00+00:00,136.02,EUR
2025-01-16 22:00:00+00:00,124.44,EUR
2025-01-16 23:00:00+00:00,124.83,EUR
2025-01-17 00:00:00+00:00,121.32,EUR
2025-01-17 01:00:00+00:00,118.2,EUR
2025-01-17 02:00:00+00:00,117.49,EUR
2025-01-17 03:00:00+00:00,117.26,EUR
2025-01-17 04:00:00+00:00,119.99,EUR
2025-01-17 05:00:00+00:00,140.8,EUR
2025-01-17 06:00:00+00:00,175.01,EUR
2025-01-17 07:00:00+00:00,208.13,EUR
2025-01-17 08:00:00+00:00,175.34,EUR
2025-01-17 09:00:00+00:00,149.39,EUR
2025-01-17 10:00:00+00:00,136.0,EUR
2025-01-17 11:00:00+00:00,126.44,EUR
2025-01-17 12:00:00+00:00,124.03,EUR
2025-01-17 13:00:00+00:00,119.51,EUR
2025-01-17 14:00:00+00:00,120.02,EUR
2025-01-17 15:00:00+00:00,138.02,EUR
2025-01-17 16:00:00+00:00,172.31,EUR
2025-01-17 17:00:00+00:00,179.92,EUR
2025-01-17 18:00:00+00:00,174.22,EUR
2025-01-17 19:00:00+00:00,157.91,EUR
2025-01-17 20:00:00+00:00,145.0,EUR
2025-01-17 21:00:00+00:00,139.97,EUR
2025-01-17 22:00:00+00:00,127.05,EUR
2025-01-17 23:00:00+00:00,125.46,EUR
2025-01-18 00:00:00+00:00,121.08,EUR
2025-01-18 01:00:00+00:00,121.06,EUR
2025-01-18 02:00:00+00:00,118.86,EUR
2025-01-18 03:00:00+00:00,116.56,EUR
2025-01-18 04:00:00+00:00,119.78,EUR
2025-01-18 05:00:00+00:00,120.0,EUR
2025-01-18 06:00:00+00:00,133.8,EUR
2025-01-18 07:00:00+00:00,145.69,EUR
2025-01-18 08:00:00+00:00,144.1,EUR
2025-01-18 09:00:00+00:00,131.7,EUR
2025-01-18 10:00:00+00:00,121.6,EUR
2025-01-18 11:00:00+00:00,118.87,EUR
2025-01-18 12:00:00+00:00,115.01,EUR
2025-01-18 13:00:00+00:00,117.28,EUR
2025-01-18 14:00:00+00:00,113.97,EUR
2025-01-18 15:00:00+00:00,120.9,EUR
2025-01-18 16:00:00+00:00,145.65,EUR
